epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,54.4975,1.6644,1.37915,0.0031,0.76575,0.68421,0.76408,0.46988,1.47605,1.37522,0.00373,0.0011882,0.0011882,0.0011882
43,55.6018,1.66909,1.20446,0.00298,0.74863,0.68217,0.76355,0.47206,1.46921,1.38704,0.00372,0.0011684,0.0011684,0.0011684
44,56.7638,1.61223,1.2455,0.00303,0.74613,0.68992,0.77762,0.48176,1.45837,1.31657,0.0036,0.0011486,0.0011486,0.0011486
45,57.9606,1.50125,1.20955,0.00286,0.74613,0.68992,0.77762,0.48176,1.45837,1.31657,0.0036,0.0011288,0.0011288,0.0011288
46,59.1998,1.59579,1.22286,0.00289,0.73977,0.70519,0.77621,0.4798,1.46872,1.23455,0.00354,0.001109,0.001109,0.001109
47,60.3079,1.54798,1.22913,0.00283,0.72664,0.72093,0.78737,0.48162,1.49483,1.18358,0.00372,0.0010892,0.0010892,0.0010892
48,61.368,1.52372,1.23427,0.00276,0.70649,0.74419,0.79099,0.49261,1.42624,1.18333,0.00346,0.0010694,0.0010694,0.0010694
49,62.5357,1.46469,1.22837,0.00274,0.70649,0.74419,0.79099,0.49261,1.42624,1.18333,0.00346,0.0010496,0.0010496,0.0010496
50,63.6713,1.58941,1.19866,0.00271,0.7278,0.74616,0.78408,0.49578,1.37301,1.16679,0.00323,0.0010298,0.0010298,0.0010298
51,64.9031,1.41304,1.19775,0.00278,0.73869,0.73643,0.79719,0.50489,1.33656,1.18793,0.00316,0.00101,0.00101,0.00101
52,66.1427,1.61587,1.21602,0.00276,0.69784,0.72093,0.78282,0.51163,1.29574,1.19965,0.00308,0.0009902,0.0009902,0.0009902
53,67.2939,1.46304,1.16155,0.00266,0.69784,0.72093,0.78282,0.51163,1.29574,1.19965,0.00308,0.0009704,0.0009704,0.0009704
54,68.4797,1.37636,1.19972,0.00261,0.69601,0.74419,0.79236,0.51474,1.34922,1.18038,0.00329,0.0009506,0.0009506,0.0009506
55,69.6423,1.41037,1.09747,0.00249,0.71729,0.7474,0.81155,0.5185,1.39004,1.16261,0.00349,0.0009308,0.0009308,0.0009308
56,70.8284,1.46044,1.16632,0.00263,0.725,0.77519,0.82824,0.5296,1.37497,1.13384,0.00348,0.000911,0.000911,0.000911
57,71.9142,1.48012,1.15051,0.00269,0.725,0.77519,0.82824,0.5296,1.37497,1.13384,0.00348,0.0008912,0.0008912,0.0008912
58,73.0534,1.38543,1.09511,0.00253,0.71966,0.78295,0.82833,0.53675,1.35224,1.10756,0.00342,0.0008714,0.0008714,0.0008714
59,74.2802,1.35222,1.1398,0.00265,0.72513,0.77712,0.83128,0.54842,1.30255,1.08773,0.00328,0.0008516,0.0008516,0.0008516
60,75.484,1.52297,1.15012,0.0027,0.71946,0.77534,0.83268,0.55414,1.29005,1.07588,0.0032,0.0008318,0.0008318,0.0008318
61,76.605,1.51532,1.16406,0.00268,0.71946,0.77534,0.83268,0.55414,1.29005,1.07588,0.0032,0.000812,0.000812,0.000812
62,77.7042,1.45489,1.16313,0.00264,0.77267,0.76744,0.84059,0.5636,1.2878,1.081,0.00312,0.0007922,0.0007922,0.0007922
63,79.0006,1.46675,1.0931,0.00237,0.75508,0.77519,0.83393,0.5499,1.29394,1.06531,0.00313,0.0007724,0.0007724,0.0007724
64,80.0314,1.41403,1.07104,0.00245,0.75348,0.76744,0.83451,0.54683,1.325,1.03885,0.00319,0.0007526,0.0007526,0.0007526
65,81.108,1.40579,1.13102,0.00257,0.75348,0.76744,0.83451,0.54683,1.325,1.03885,0.00319,0.0007328,0.0007328,0.0007328
66,82.185,1.32759,1.09065,0.00246,0.75345,0.77519,0.8368,0.54464,1.32015,1.05179,0.00318,0.000713,0.000713,0.000713
67,83.2672,1.42085,1.11768,0.00259,0.75896,0.73643,0.83178,0.54062,1.38171,1.04039,0.00334,0.0006932,0.0006932,0.0006932
68,84.3783,1.39407,1.06543,0.00246,0.76865,0.75194,0.8401,0.54227,1.37387,1.02231,0.00328,0.0006734,0.0006734,0.0006734
69,85.3806,1.3111,1.05267,0.00244,0.76865,0.75194,0.8401,0.54227,1.37387,1.02231,0.00328,0.0006536,0.0006536,0.0006536
70,86.4737,1.51374,1.06623,0.00248,0.77095,0.73643,0.84327,0.55461,1.34626,1.00257,0.00316,0.0006338,0.0006338,0.0006338
71,87.6237,1.50748,1.03536,0.00234,0.7703,0.74419,0.84456,0.55318,1.35038,0.99371,0.00318,0.000614,0.000614,0.000614
72,88.7174,1.27764,1.10699,0.00275,0.7761,0.75969,0.84449,0.55689,1.3525,0.98297,0.00317,0.0005942,0.0005942,0.0005942
73,89.8252,1.48159,1.06169,0.00243,0.7761,0.75969,0.84449,0.55689,1.3525,0.98297,0.00317,0.0005744,0.0005744,0.0005744
74,90.9143,1.43352,1.08652,0.00256,0.82625,0.74419,0.85353,0.55213,1.36185,0.97631,0.00321,0.0005546,0.0005546,0.0005546
75,92.0963,1.43831,1.06067,0.00249,0.80839,0.7522,0.85452,0.55898,1.34241,0.97976,0.00317,0.0005348,0.0005348,0.0005348
76,93.2167,1.57346,1.04808,0.00253,0.81271,0.75969,0.85838,0.54763,1.34841,0.99685,0.00317,0.000515,0.000515,0.000515
77,94.2919,1.49849,1.03556,0.00251,0.81271,0.75969,0.85838,0.54763,1.34841,0.99685,0.00317,0.0004952,0.0004952,0.0004952
78,95.4321,1.34141,1.09824,0.00262,0.81771,0.76744,0.86164,0.54474,1.33649,0.99307,0.00317,0.0004754,0.0004754,0.0004754
79,96.449,1.51118,1.08601,0.00247,0.81915,0.75969,0.86094,0.55348,1.34395,0.97101,0.0032,0.0004556,0.0004556,0.0004556
80,97.4906,1.37974,1.10914,0.00262,0.82928,0.75311,0.86196,0.56067,1.33095,0.95762,0.00313,0.0004358,0.0004358,0.0004358
81,98.4855,1.38115,1.04044,0.00232,0.82928,0.75311,0.86196,0.56067,1.33095,0.95762,0.00313,0.000416,0.000416,0.000416
82,99.6225,1.26723,1.05446,0.00251,0.82399,0.75194,0.8623,0.56705,1.33667,0.96242,0.00314,0.0003962,0.0003962,0.0003962
83,100.763,1.39281,1.01282,0.00225,0.80687,0.77726,0.86191,0.57115,1.33885,0.95902,0.00316,0.0003764,0.0003764,0.0003764
84,101.889,1.44973,1.02193,0.00246,0.8023,0.78295,0.85998,0.57215,1.32074,0.9596,0.0031,0.0003566,0.0003566,0.0003566
85,102.971,1.31492,1.0377,0.00257,0.8023,0.78295,0.85998,0.57215,1.32074,0.9596,0.0031,0.0003368,0.0003368,0.0003368
86,104.097,1.50834,1.01516,0.00241,0.78752,0.80449,0.86526,0.58076,1.30423,0.95884,0.00304,0.000317,0.000317,0.000317
87,105.276,1.44887,1.00327,0.00233,0.76775,0.8062,0.86411,0.58418,1.27754,0.96207,0.00298,0.0002972,0.0002972,0.0002972
88,106.451,1.50914,0.98714,0.00233,0.7714,0.8062,0.86344,0.58663,1.2525,0.95544,0.00293,0.0002774,0.0002774,0.0002774
89,107.6,1.2745,1.09637,0.00236,0.7714,0.8062,0.86344,0.58663,1.2525,0.95544,0.00293,0.0002576,0.0002576,0.0002576
90,108.72,1.37655,1.02389,0.00223,0.76487,0.80695,0.86451,0.58592,1.24924,0.95626,0.0029,0.0002378,0.0002378,0.0002378
91,116.097,1.35354,1.1696,0.0028,0.77274,0.81712,0.86796,0.58736,1.24015,0.96376,0.00286,0.000218,0.000218,0.000218
92,117.256,1.2683,1.21931,0.00274,0.7805,0.82692,0.87338,0.5829,1.23638,0.96839,0.00282,0.0001982,0.0001982,0.0001982
93,118.398,1.49737,1.27324,0.00266,0.7805,0.82692,0.87338,0.5829,1.23638,0.96839,0.00282,0.0001784,0.0001784,0.0001784
94,119.433,1.34625,1.16071,0.00266,0.78561,0.81395,0.87043,0.58082,1.24883,0.96568,0.00287,0.0001586,0.0001586,0.0001586
95,120.678,1.36306,1.19984,0.0027,0.78256,0.80907,0.87,0.58066,1.25366,0.96171,0.0029,0.0001388,0.0001388,0.0001388
96,121.762,1.28264,1.1354,0.00268,0.77911,0.8062,0.87324,0.581,1.25651,0.96756,0.0029,0.000119,0.000119,0.000119
97,122.76,1.18725,1.13129,0.00254,0.77911,0.8062,0.87324,0.581,1.25651,0.96756,0.0029,9.92e-05,9.92e-05,9.92e-05
98,123.718,1.29233,1.1227,0.00263,0.77552,0.8062,0.86969,0.58252,1.25719,0.97335,0.0029,7.94e-05,7.94e-05,7.94e-05
99,124.839,1.28475,1.11676,0.00255,0.78867,0.8062,0.86912,0.58211,1.25657,0.97637,0.0029,5.96e-05,5.96e-05,5.96e-05
100,125.892,1.27319,1.12557,0.00264,0.76443,0.8062,0.8711,0.58131,1.25501,0.98023,0.00291,3.98e-05,3.98e-05,3.98e-05
